gvkey,cik,conm,Role,Source,Date,Time,Title,Content
16428,915191,FAIRFAX FINANCIAL HOLDINGS,"CEO, Chief Executive Officer",,,,,
16428,915191,FAIRFAX FINANCIAL HOLDINGS,"CFO, Chief Financial Officer",,,,,
29698,915358,SIGMATRON INTERNATIONAL INC,"CEO, Chief Executive Officer",,,,,
29698,915358,SIGMATRON INTERNATIONAL INC,"CFO, Chief Financial Officer",,,,,
29392,915389,EASTMAN CHEMICAL CO,"CEO, Chief Executive Officer",,,,,
29392,915389,EASTMAN CHEMICAL CO,"CFO, Chief Financial Officer",,,,,
62527,915393,AMB FINANCIAL CORP,"CEO, Chief Executive Officer",,,,,
62527,915393,AMB FINANCIAL CORP,"CFO, Chief Financial Officer",,,,,
26233,915458,GLOBAL BLOCKCHAIN TECHNOLO,"CEO, Chief Executive Officer",,,,,
26233,915458,GLOBAL BLOCKCHAIN TECHNOLO,"CFO, Chief Financial Officer",,,,,
29722,915778,DSP GROUP INC,"CEO, Chief Executive Officer",,,,,
29722,915778,DSP GROUP INC,"CFO, Chief Financial Officer",,,,,
29705,915779,DAKTRONICS INC,"CEO, Chief Executive Officer",,,,,
29705,915779,DAKTRONICS INC,"CFO, Chief Financial Officer",,,,,
29755,915840,BEAZER HOMES USA INC,"CEO, Chief Executive Officer",,,,,
29755,915840,BEAZER HOMES USA INC,"CFO, Chief Financial Officer",,,,,
31392,915862,PANTRY INC,"CEO, Chief Executive Officer",,,,,
31392,915862,PANTRY INC,"CFO, Chief Financial Officer",,,,,
29875,915912,AVALONBAY COMMUNITIES INC,"CEO, Chief Executive Officer",,,,,
29875,915912,AVALONBAY COMMUNITIES INC,"CFO, Chief Financial Officer",,,,,
29751,915913,ALBEMARLE CORP,"CEO, Chief Executive Officer",,,,,
29751,915913,ALBEMARLE CORP,"CFO, Chief Financial Officer",,,,,
29733,916076,MARTIN MARIETTA MATERIALS,"CEO, Chief Executive Officer",,,,,
29733,916076,MARTIN MARIETTA MATERIALS,"CFO, Chief Financial Officer",,,,,
29710,916085,HEALTH NET INC,"CEO, Chief Executive Officer",,,,,
29710,916085,HEALTH NET INC,"CFO, Chief Financial Officer",,,,,
29692,916314,WEBCO INDUSTRIES INC,"CEO, Chief Executive Officer",,,,,
29692,916314,WEBCO INDUSTRIES INC,"CFO, Chief Financial Officer",,,,,
29736,916365,TRACTOR SUPPLY CO,"CEO, Chief Executive Officer",,,,,
29736,916365,TRACTOR SUPPLY CO,"CFO, Chief Financial Officer",,,,,
63605,916457,CALPINE CORP,"CEO, Chief Executive Officer",,,,,
63605,916457,CALPINE CORP,"CFO, Chief Financial Officer",,,,,
29762,916529,AROTECH CORP,"CEO, Chief Executive Officer",,,,,
29762,916529,AROTECH CORP,"CFO, Chief Financial Officer",,,,,
30651,916540,DARLING INGREDIENTS INC,"CEO, Chief Executive Officer",,,,,
30651,916540,DARLING INGREDIENTS INC,"CFO, Chief Financial Officer",,,,,
5572,916789,HELEN OF TROY LTD,"CEO, Chief Executive Officer",,,,,
5572,916789,HELEN OF TROY LTD,"CFO, Chief Financial Officer",,,,,
30030,916793,SILICOM LTD,"CEO, Chief Executive Officer",,,,,
30030,916793,SILICOM LTD,"CFO, Chief Financial Officer",,,,,
121196,916802,BOSS HOLDINGS INC,"CEO, Chief Executive Officer",,,,,
121196,916802,BOSS HOLDINGS INC,"CFO, Chief Financial Officer",,,,,
11555,916863,INTEGRYS HOLDING INC,"CEO, Chief Executive Officer",,,,,
11555,916863,INTEGRYS HOLDING INC,"CFO, Chief Financial Officer",,,,,
30055,916907,SOUTHERN MISSOURI BANCP INC,"CEO, Chief Executive Officer",,,,,
30055,916907,SOUTHERN MISSOURI BANCP INC,"CFO, Chief Financial Officer",,,,,
30473,917225,SOLITARIO EXPLORATION & RLTY,"CEO, Chief Executive Officer",,,,,
30473,917225,SOLITARIO EXPLORATION & RLTY,"CFO, Chief Financial Officer",,,,,
30067,917251,AGREE REALTY CORP,"CEO, Chief Executive Officer",,,,,
30067,917251,AGREE REALTY CORP,"CFO, Chief Financial Officer",,,,,
64766,917273,RAMBUS INC,"CEO, Chief Executive Officer",,,,,
64766,917273,RAMBUS INC,"CFO, Chief Financial Officer",,,,,
29870,917470,OLYMPIC STEEL INC,"CEO, Chief Executive Officer",,,,,
29870,917470,OLYMPIC STEEL INC,"CFO, Chief Financial Officer",,,,,
65421,917491,FARO TECHNOLOGIES INC,"CEO, Chief Executive Officer",,,,,
65421,917491,FARO TECHNOLOGIES INC,"CFO, Chief Financial Officer",,,,,
61181,917520,INTEGRA LIFESCIENCES HLDGS,"CEO, Chief Executive Officer",,,,,
61181,917520,INTEGRA LIFESCIENCES HLDGS,"CFO, Chief Financial Officer",,,,,
29921,917523,REVOLUTION LIGHTING TECHNLGS,"CEO, Chief Executive Officer",,,,,
29921,917523,REVOLUTION LIGHTING TECHNLGS,"CFO, Chief Financial Officer",,,,,
209382,917851,VALE SA,"CEO, Chief Executive Officer",,,,,
209382,917851,VALE SA,"CFO, Chief Financial Officer",,,,,
29968,918160,AK STEEL HOLDING CORP,"CEO, Chief Executive Officer",,,,,
29968,918160,AK STEEL HOLDING CORP,"CFO, Chief Financial Officer",,,,,
29930,918251,MOTORCAR PARTS OF AMER INC,"CEO, Chief Executive Officer",,,,,
29930,918251,MOTORCAR PARTS OF AMER INC,"CFO, Chief Financial Officer",,,,,
29791,918386,QLOGIC CORP,"CEO, Chief Executive Officer",,,,,
29791,918386,QLOGIC CORP,"CFO, Chief Financial Officer",,,,,
29894,918541,NN INC,"CEO, Chief Executive Officer",,,,,
29894,918541,NN INC,"CFO, Chief Financial Officer",,,,,
29816,918573,GROOVE BOTANICALS INC,"CEO, Chief Executive Officer",,,,,
29816,918573,GROOVE BOTANICALS INC,"CFO, Chief Financial Officer",,,,,
29964,918580,GAMING PARTNERS INTL CORP,"CEO, Chief Executive Officer",,,,,
29964,918580,GAMING PARTNERS INTL CORP,"CFO, Chief Financial Officer",,,,,
29900,918581,CMTSU LIQUIDATION INC,"CEO, Chief Executive Officer",,,,,
29900,918581,CMTSU LIQUIDATION INC,"CFO, Chief Financial Officer",,,,,
26539,918608,ELDORADO GOLD CORP,"CEO, Chief Executive Officer",,,,,
26539,918608,ELDORADO GOLD CORP,"CFO, Chief Financial Officer",,,,,
30032,918646,EAGLE MATERIALS INC,"CEO, Chief Executive Officer",,,,,
30032,918646,EAGLE MATERIALS INC,"CFO, Chief Financial Officer",,,,,
30169,918964,INTERNATIONAL TEXTLE GRP INC,"CEO, Chief Executive Officer",,,,,
30169,918964,INTERNATIONAL TEXTLE GRP INC,"CFO, Chief Financial Officer",,,,,
29910,918965,SCANSOURCE INC,"CEO, Chief Executive Officer",,,,,
29910,918965,SCANSOURCE INC,"CFO, Chief Financial Officer",,,,,
30059,919012,AMERN EAGLE OUTFITTERS INC,"CEO, Chief Executive Officer",,,,,
30059,919012,AMERN EAGLE OUTFITTERS INC,"CFO, Chief Financial Officer",,,,,
30649,919013,WAVE SYSTEMS CORP  ,"CEO, Chief Executive Officer",,,,,
30649,919013,WAVE SYSTEMS CORP  ,"CFO, Chief Financial Officer",,,,,
65180,919130,ONSTREAM MEDIA CORP,"CEO, Chief Executive Officer",,,,,
65180,919130,ONSTREAM MEDIA CORP,"CFO, Chief Financial Officer",,,,,
31550,919134,MENDOCINO BREWING CO INC,"CEO, Chief Executive Officer",,,,,
31550,919134,MENDOCINO BREWING CO INC,"CFO, Chief Financial Officer",,,,,
187356,919175,SUGARMADE INC,"CEO, Chief Executive Officer",,,,,
187356,919175,SUGARMADE INC,"CFO, Chief Financial Officer",,,,,
15037,919239,GOLDCORP INC,"CEO, Chief Executive Officer",,,,,
15037,919239,GOLDCORP INC,"CFO, Chief Financial Officer",,,,,
30797,919721,TRANS ENERGY INC,"CEO, Chief Executive Officer",,,,,
30797,919721,TRANS ENERGY INC,"CFO, Chief Financial Officer",,,,,
179428,919745,DARA BIOSCIENCES INC,"CEO, Chief Executive Officer",,,,,
179428,919745,DARA BIOSCIENCES INC,"CFO, Chief Financial Officer",,,,,
107644,919864,NORTHWEST IND BANCORP,"CEO, Chief Executive Officer",,,,,
107644,919864,NORTHWEST IND BANCORP,"CFO, Chief Financial Officer",,,,,
61225,919865,FENTURA FINANCIAL INC,"CEO, Chief Executive Officer",,,,,
61225,919865,FENTURA FINANCIAL INC,"CFO, Chief Financial Officer",,,,,
30175,919956,DIVERSICARE HEALTHCARE SVCS,"CEO, Chief Executive Officer",,,,,
30175,919956,DIVERSICARE HEALTHCARE SVCS,"CFO, Chief Financial Officer",,,,,
28080,919991,NEVSUN RESOURCES LTD,"CEO, Chief Executive Officer",,,,,
28080,919991,NEVSUN RESOURCES LTD,"CFO, Chief Financial Officer",,,,,
61693,920112,HEARTLAND FINANCIAL USA INC,"CEO, Chief Executive Officer",,,,,
61693,920112,HEARTLAND FINANCIAL USA INC,"CFO, Chief Financial Officer",,,,,
14960,920148,LABORATORY CP OF AMER HLDGS,"CEO, Chief Executive Officer",,,,,
14960,920148,LABORATORY CP OF AMER HLDGS,"CFO, Chief Financial Officer",,,,,
61338,920321,CENVEO INC,"CEO, Chief Executive Officer",,,,,
61338,920321,CENVEO INC,"CFO, Chief Financial Officer",,,,,
30260,920371,SIMPSON MANUFACTURING INC,"CEO, Chief Executive Officer",,,,,
30260,920371,SIMPSON MANUFACTURING INC,"CFO, Chief Financial Officer",,,,,
30146,920424,INVESTMENT TECHNOLOGY GP INC,"CEO, Chief Executive Officer",,,,,
30146,920424,INVESTMENT TECHNOLOGY GP INC,"CFO, Chief Financial Officer",,,,,
62243,920427,UNITY BANCORP INC,"CEO, Chief Executive Officer",,,,,
62243,920427,UNITY BANCORP INC,"CFO, Chief Financial Officer",,,,,
63099,920448,BROADVISION INC,"CEO, Chief Executive Officer",,,,,
63099,920448,BROADVISION INC,"CFO, Chief Financial Officer",,,,,
30281,920465,LA JOLLA PHARMACEUTICAL CO,"CEO, Chief Executive Officer",,,,,
30281,920465,LA JOLLA PHARMACEUTICAL CO,"CFO, Chief Financial Officer",,,,,
30293,920522,ESSEX PROPERTY TRUST,"CEO, Chief Executive Officer",,,,,
30293,920522,ESSEX PROPERTY TRUST,"CFO, Chief Financial Officer",,,,,
61536,920532,POINTER TELOCATION LTD,"CEO, Chief Executive Officer",,,,,
61536,920532,POINTER TELOCATION LTD,"CFO, Chief Financial Officer",,,,,
6669,920760,LENNAR CORP,"CEO, Chief Executive Officer",,,,,
6669,920760,LENNAR CORP,"CFO, Chief Financial Officer",,,,,
30298,921082,HIGHWOODS PROPERTIES INC,"CEO, Chief Executive Officer",,,,,
30298,921082,HIGHWOODS PROPERTIES INC,"CFO, Chief Financial Officer",,,,,
30354,921112,LIBERTY PROPERTY TRUST,"CEO, Chief Executive Officer",,,,,
30354,921112,LIBERTY PROPERTY TRUST,"CFO, Chief Financial Officer",,,,,
30236,921114,AMPLIPHI BIOSCIENCES CORP,"CEO, Chief Executive Officer",,,,,
30236,921114,AMPLIPHI BIOSCIENCES CORP,"CFO, Chief Financial Officer",,,,,
30416,921183,HMN FINANCIAL INC,"CEO, Chief Executive Officer",,,,,
30416,921183,HMN FINANCIAL INC,"CFO, Chief Financial Officer",,,,,
21901,921299,FIBROGEN INC,"CEO, Chief Executive Officer",,,,,
21901,921299,FIBROGEN INC,"CFO, Chief Financial Officer",,,,,
30219,921503,BLYTH INC,"CEO, Chief Executive Officer",,,,,
30219,921503,BLYTH INC,"CFO, Chief Financial Officer",,,,,
31242,921547,HERITAGE OAKS BANCORP,"CEO, Chief Executive Officer",,,,,
31242,921547,HERITAGE OAKS BANCORP,"CFO, Chief Financial Officer",,,,,
112721,921557,REPUBLIC BANCORP INC/KY,"CEO, Chief Executive Officer",,,,,
112721,921557,REPUBLIC BANCORP INC/KY,"CFO, Chief Financial Officer",,,,,
30312,921582,IMAX CORP,"CEO, Chief Executive Officer",,,,,
30312,921582,IMAX CORP,"CFO, Chief Financial Officer",,,,,
62245,921590,VALLEY FINANCIAL CORP,"CEO, Chief Executive Officer",,,,,
62245,921590,VALLEY FINANCIAL CORP,"CFO, Chief Financial Officer",,,,,
26768,921638,SSR MINING INC,"CEO, Chief Executive Officer",,,,,
26768,921638,SSR MINING INC,"CFO, Chief Financial Officer",,,,,
30259,921738,PENN NATIONAL GAMING INC,"CEO, Chief Executive Officer",,,,,
30259,921738,PENN NATIONAL GAMING INC,"CFO, Chief Financial Officer",,,,,
16681,921768,BBX CAPITAL CORP,"CEO, Chief Executive Officer",,,,,
16681,921768,BBX CAPITAL CORP,"CFO, Chief Financial Officer",,,,,
30384,921825,FIRST INDL REALTY TRUST INC,"CEO, Chief Executive Officer",,,,,
30384,921825,FIRST INDL REALTY TRUST INC,"CFO, Chief Financial Officer",,,,,
122015,921847,HUDSON CITY BANCORP INC,"CEO, Chief Executive Officer",,,,,
122015,921847,HUDSON CITY BANCORP INC,"CFO, Chief Financial Officer",,,,,
8455,922224,PPL CORP,"CEO, Chief Executive Officer",,,,,
8455,922224,PPL CORP,"CFO, Chief Financial Officer",,,,,
277918,922237,ENOVA SYSTEMS INC,"CEO, Chief Executive Officer",,,,,
277918,922237,ENOVA SYSTEMS INC,"CFO, Chief Financial Officer",,,,,
106100,922247,CTD HOLDINGS INC,"CEO, Chief Executive Officer",,,,,
106100,922247,CTD HOLDINGS INC,"CFO, Chief Financial Officer",,,,,
31154,922330,REGI U S INC,"CEO, Chief Executive Officer",,,,,
31154,922330,REGI U S INC,"CFO, Chief Financial Officer",,,,,
13962,922358,FERRELLGAS PARTNERS  -LP,"CEO, Chief Executive Officer",,,,,
13962,922358,FERRELLGAS PARTNERS  -LP,"CFO, Chief Financial Officer",,,,,
31224,922475,ITT EDUCATIONAL SERVICES INC,"CEO, Chief Executive Officer",,,,,
31224,922475,ITT EDUCATIONAL SERVICES INC,"CFO, Chief Financial Officer",,,,,
102523,922486,VALEO SA,"CEO, Chief Executive Officer",,,,,
102523,922486,VALEO SA,"CFO, Chief Financial Officer",,,,,
17168,922487,ROYAL BANCSHARES/PA  ,"CEO, Chief Executive Officer",,,,,
17168,922487,ROYAL BANCSHARES/PA  ,"CFO, Chief Financial Officer",,,,,
30398,922521,FALCONSTOR SOFTWARE INC,"CEO, Chief Executive Officer",,,,,
30398,922521,FALCONSTOR SOFTWARE INC,"CFO, Chief Financial Officer",,,,,
26520,922612,SCHMITT INDUSTRIES INC/OR,"CEO, Chief Executive Officer",,,,,
26520,922612,SCHMITT INDUSTRIES INC/OR,"CFO, Chief Financial Officer",,,,,
61380,922621,ERIE INDEMNITY CO  ,"CEO, Chief Executive Officer",,,,,
61380,922621,ERIE INDEMNITY CO  ,"CFO, Chief Financial Officer",,,,,
148313,922863,QUALITY DISTRIBUTION INC,"CEO, Chief Executive Officer",,,,,
148313,922863,QUALITY DISTRIBUTION INC,"CFO, Chief Financial Officer",,,,,
30490,922864,APARTMENT INVST & MGMT CO,"CEO, Chief Executive Officer",,,,,
30490,922864,APARTMENT INVST & MGMT CO,"CFO, Chief Financial Officer",,,,,
30539,923118,HOME PROPERTIES INC,"CEO, Chief Executive Officer",,,,,
30539,923118,HOME PROPERTIES INC,"CFO, Chief Financial Officer",,,,,
30463,923120,GREENBRIER COMPANIES INC,"CEO, Chief Executive Officer",,,,,
30463,923120,GREENBRIER COMPANIES INC,"CFO, Chief Financial Officer",,,,,
61585,923139,FLUSHING FINANCIAL CORP,"CEO, Chief Executive Officer",,,,,
61585,923139,FLUSHING FINANCIAL CORP,"CFO, Chief Financial Officer",,,,,
143689,923284,INLAND REAL ESTATE CORP,"CEO, Chief Executive Officer",,,,,
143689,923284,INLAND REAL ESTATE CORP,"CFO, Chief Financial Officer",,,,,
30964,923601,SINGING MACHINE CO INC,"CEO, Chief Executive Officer",,,,,
30964,923601,SINGING MACHINE CO INC,"CFO, Chief Financial Officer",,,,,
30495,923603,FELCOR LODGING TRUST INC,"CEO, Chief Executive Officer",,,,,
30495,923603,FELCOR LODGING TRUST INC,"CFO, Chief Financial Officer",,,,,
30740,923680,DOMINION RES BLACK WARRIOR,"CEO, Chief Executive Officer",,,,,
30740,923680,DOMINION RES BLACK WARRIOR,"CFO, Chief Financial Officer",,,,,
30536,923796,GEO GROUP INC,"CEO, Chief Executive Officer",,,,,
30536,923796,GEO GROUP INC,"CFO, Chief Financial Officer",,,,,
107038,923883,THERALASE TECHNOLOGIES INC,"CEO, Chief Executive Officer",,,,,
107038,923883,THERALASE TECHNOLOGIES INC,"CFO, Chief Financial Officer",,,,,
30614,924168,ENERGY FOCUS INC,"CEO, Chief Executive Officer",,,,,
30614,924168,ENERGY FOCUS INC,"CFO, Chief Financial Officer",,,,,
22373,924383,LRAD CORP,"CEO, Chief Executive Officer",,,,,
22373,924383,LRAD CORP,"CFO, Chief Financial Officer",,,,,
65016,924515,GUIDED THERAPEUTICS INC,"CEO, Chief Executive Officer",,,,,
65016,924515,GUIDED THERAPEUTICS INC,"CFO, Chief Financial Officer",,,,,
23671,924613,NOKIA CORP,"CEO, Chief Executive Officer",,,,,
23671,924613,NOKIA CORP,"CFO, Chief Financial Officer",,,,,
66588,924717,SURMODICS INC,"CEO, Chief Executive Officer",,,,,
66588,924717,SURMODICS INC,"CFO, Chief Financial Officer",,,,,
61709,924719,SMITH-MIDLAND CORP,"CEO, Chief Executive Officer",,,,,
61709,924719,SMITH-MIDLAND CORP,"CFO, Chief Financial Officer",,,,,
26567,924805,FREEDOM HOLDING CORP,"CEO, Chief Executive Officer",,,,,
26567,924805,FREEDOM HOLDING CORP,"CFO, Chief Financial Officer",,,,,
30558,924822,MILLER INDUSTRIES INC/TN,"CEO, Chief Executive Officer",,,,,
30558,924822,MILLER INDUSTRIES INC/TN,"CFO, Chief Financial Officer",,,,,
30637,924901,MACK-CALI REALTY CORP,"CEO, Chief Executive Officer",,,,,
30637,924901,MACK-CALI REALTY CORP,"CFO, Chief Financial Officer",,,,,
30436,925261,EMBOTELLADORA ANDINA SA,"CEO, Chief Executive Officer",,,,,
30436,925261,EMBOTELLADORA ANDINA SA,"CFO, Chief Financial Officer",,,,,
30466,925262,BIO PAPPEL SAB DE CV,"CEO, Chief Executive Officer",,,,,
30466,925262,BIO PAPPEL SAB DE CV,"CFO, Chief Financial Officer",,,,,
30899,925528,HUDSON TECHNOLOGIES INC,"CEO, Chief Executive Officer",,,,,
30899,925528,HUDSON TECHNOLOGIES INC,"CFO, Chief Financial Officer",,,,,
30778,925645,CENTRAL EUROPEAN MEDIA,"CEO, Chief Executive Officer",,,,,
30778,925645,CENTRAL EUROPEAN MEDIA,"CFO, Chief Financial Officer",,,,,
114209,925660,FLEXPOINT SENSOR SYSTEMS INC,"CEO, Chief Executive Officer",,,,,
114209,925660,FLEXPOINT SENSOR SYSTEMS INC,"CFO, Chief Financial Officer",,,,,
21879,925721,KWG RESOURCES INC,"CEO, Chief Executive Officer",,,,,
21879,925721,KWG RESOURCES INC,"CFO, Chief Financial Officer",,,,,
24598,925741,BIOCARDIA INC,"CEO, Chief Executive Officer",,,,,
24598,925741,BIOCARDIA INC,"CFO, Chief Financial Officer",,,,,
30701,925956,TIX CORP,"CEO, Chief Executive Officer",,,,,
30701,925956,TIX CORP,"CFO, Chief Financial Officer",,,,,
203890,926042,TATA MOTORS LTD,"CEO, Chief Executive Officer",,,,,
203890,926042,TATA MOTORS LTD,"CFO, Chief Financial Officer",,,,,
15620,926171,NATIONAL BANK CANADA,"CEO, Chief Executive Officer",,,,,
15620,926171,NATIONAL BANK CANADA,"CFO, Chief Financial Officer",,,,,
30576,926282,ADTRAN INC,"CEO, Chief Executive Officer",,,,,
30576,926282,ADTRAN INC,"CFO, Chief Financial Officer",,,,,
142956,926326,OMNICELL INC,"CEO, Chief Executive Officer",,,,,
142956,926326,OMNICELL INC,"CFO, Chief Financial Officer",,,,,
31214,926423,MITCHAM INDUSTRIES INC,"CEO, Chief Executive Officer",,,,,
31214,926423,MITCHAM INDUSTRIES INC,"CFO, Chief Financial Officer",,,,,
140042,926617,VERMILLION INC,"CEO, Chief Executive Officer",,,,,
140042,926617,VERMILLION INC,"CFO, Chief Financial Officer",,,,,
30538,926864,ENEL GENERACION CHILE SA,"CEO, Chief Executive Officer",,,,,
30538,926864,ENEL GENERACION CHILE SA,"CFO, Chief Financial Officer",,,,,
61562,927003,ADVANCED ENERGY INDS INC,"CEO, Chief Executive Officer",,,,,
61562,927003,ADVANCED ENERGY INDS INC,"CFO, Chief Financial Officer",,,,,
61483,927066,DAVITA INC,"CEO, Chief Executive Officer",,,,,
61483,927066,DAVITA INC,"CFO, Chief Financial Officer",,,,,
30714,927355,TESSCO TECHNOLOGIES INC,"CEO, Chief Executive Officer",,,,,
30714,927355,TESSCO TECHNOLOGIES INC,"CFO, Chief Financial Officer",,,,,
61150,927454,ALLIED SECURITY INNOVATIONS,"CEO, Chief Executive Officer",,,,,
61150,927454,ALLIED SECURITY INNOVATIONS,"CFO, Chief Financial Officer",,,,,
30990,927628,CAPITAL ONE FINANCIAL CORP,"CEO, Chief Executive Officer",,,,,
30990,927628,CAPITAL ONE FINANCIAL CORP,"CFO, Chief Financial Officer",,,,,
7171,927653,MCKESSON CORP,"CEO, Chief Executive Officer",,,,,
7171,927653,MCKESSON CORP,"CFO, Chief Financial Officer",,,,,
117145,927720,SPANISH BROADCASTING SYS INC,"CEO, Chief Executive Officer",,,,,
117145,927720,SPANISH BROADCASTING SYS INC,"CFO, Chief Financial Officer",,,,,
31516,927761,MYMETICS CORP,"CEO, Chief Executive Officer",,,,,
31516,927761,MYMETICS CORP,"CFO, Chief Financial Officer",,,,,
15580,927971,BANK OF MONTREAL,"CEO, Chief Executive Officer",,,,,
15580,927971,BANK OF MONTREAL,"CFO, Chief Financial Officer",,,,,
15060,928022,CALLON PETROLEUM CO/DE,"CEO, Chief Executive Officer",,,,,
15060,928022,CALLON PETROLEUM CO/DE,"CFO, Chief Financial Officer",,,,,
28347,928054,FLOTEK INDUSTRIES INC,"CEO, Chief Executive Officer",,,,,
28347,928054,FLOTEK INDUSTRIES INC,"CFO, Chief Financial Officer",,,,,
62618,928340,CONSOLIDATED WATER CO INC,"CEO, Chief Executive Officer",,,,,
62618,928340,CONSOLIDATED WATER CO INC,"CFO, Chief Financial Officer",,,,,
208079,928366,SIMS METAL MGMT LTD,"CEO, Chief Executive Officer",,,,,
208079,928366,SIMS METAL MGMT LTD,"CFO, Chief Financial Officer",,,,,
30710,928421,MATTSON TECHNOLOGY INC,"CEO, Chief Executive Officer",,,,,
30710,928421,MATTSON TECHNOLOGY INC,"CFO, Chief Financial Officer",,,,,
61122,928465,AMCON DISTRIBUTING CO,"CEO, Chief Executive Officer",,,,,
61122,928465,AMCON DISTRIBUTING CO,"CFO, Chief Financial Officer",,,,,
65298,928576,MIDAMERICAN ENERGY CO,"CEO, Chief Executive Officer",,,,,
65298,928576,MIDAMERICAN ENERGY CO,"CFO, Chief Financial Officer",,,,,
30877,928658,COVENANT TRANSPORTATION GRP,"CEO, Chief Executive Officer",,,,,
30877,928658,COVENANT TRANSPORTATION GRP,"CFO, Chief Financial Officer",,,,,
31255,928876,TOWER SEMICONDUCTOR LTD,"CEO, Chief Executive Officer",,,,,
31255,928876,TOWER SEMICONDUCTOR LTD,"CFO, Chief Financial Officer",,,,,
62955,928953,PILLARSTONE CAPITAL REIT,"CEO, Chief Executive Officer",,,,,
62955,928953,PILLARSTONE CAPITAL REIT,"CFO, Chief Financial Officer",,,,,
120444,929008,WESCO INTL INC,"CEO, Chief Executive Officer",,,,,
120444,929008,WESCO INTL INC,"CFO, Chief Financial Officer",,,,,
30747,929058,HUANENG POWER INTERNATIONAL,"CEO, Chief Executive Officer",,,,,
30747,929058,HUANENG POWER INTERNATIONAL,"CFO, Chief Financial Officer",,,,,
28378,929351,LIONS GATE ENTERTAINMENT CP,"CEO, Chief Executive Officer",,,,,
28378,929351,LIONS GATE ENTERTAINMENT CP,"CFO, Chief Financial Officer",,,,,
31095,929545,CONDOR HOSPITALITY TR INC,"CEO, Chief Executive Officer",,,,,
31095,929545,CONDOR HOSPITALITY TR INC,"CFO, Chief Financial Officer",,,,,
100338,929869,RELX PLC,"CEO, Chief Executive Officer",,,,,
100338,929869,RELX PLC,"CFO, Chief Financial Officer",,,,,
100075,929872,RELX NV,"CEO, Chief Executive Officer",,,,,
100075,929872,RELX NV,"CFO, Chief Financial Officer",,,,,
31122,929887,APOLLO EDUCATION GROUP INC,"CEO, Chief Executive Officer",,,,,
31122,929887,APOLLO EDUCATION GROUP INC,"CFO, Chief Financial Officer",,,,,
30870,929940,ASPEN TECHNOLOGY INC,"CEO, Chief Executive Officer",,,,,
30870,929940,ASPEN TECHNOLOGY INC,"CFO, Chief Financial Officer",,,,,
61129,930236,REDWOOD TRUST INC,"CEO, Chief Executive Officer",,,,,
61129,930236,REDWOOD TRUST INC,"CFO, Chief Financial Officer",,,,,
31232,930245,ALL AMERICAN SPORTPARK INC,"CEO, Chief Executive Officer",,,,,
31232,930245,ALL AMERICAN SPORTPARK INC,"CFO, Chief Financial Officer",,,,,
100781,930309,DELHAIZE GROUP - ETS DLHZ FR,"CEO, Chief Executive Officer",,,,,
100781,930309,DELHAIZE GROUP - ETS DLHZ FR,"CFO, Chief Financial Officer",,,,,
61179,930420,KFORCE INC,"CEO, Chief Executive Officer",,,,,
61179,930420,KFORCE INC,"CFO, Chief Financial Officer",,,,,
106517,930537,ALDEVER RESOURCES INC,"CEO, Chief Executive Officer",,,,,
106517,930537,ALDEVER RESOURCES INC,"CFO, Chief Financial Officer",,,,,
209418,930543,VINA CONCHA Y TORO SA,"CEO, Chief Executive Officer",,,,,
209418,930543,VINA CONCHA Y TORO SA,"CFO, Chief Financial Officer",,,,,
63122,930775,ENCISION INC,"CEO, Chief Executive Officer",,,,,
63122,930775,ENCISION INC,"CFO, Chief Financial Officer",,,,,
14311,931015,POLARIS INDUSTRIES INC,"CEO, Chief Executive Officer",,,,,
14311,931015,POLARIS INDUSTRIES INC,"CFO, Chief Financial Officer",,,,,
187677,931059,RENNOVA HEALTH INC,"CEO, Chief Executive Officer",,,,,
187677,931059,RENNOVA HEALTH INC,"CFO, Chief Financial Officer",,,,,
268025,931061,ABBEY NATL TREASURY SVCS PLC,"CEO, Chief Executive Officer",,,,,
268025,931061,ABBEY NATL TREASURY SVCS PLC,"CFO, Chief Financial Officer",,,,,
61153,931148,GRAFTECH INTERNATIONAL LTD,"CEO, Chief Executive Officer",,,,,
61153,931148,GRAFTECH INTERNATIONAL LTD,"CFO, Chief Financial Officer",,,,,
62655,931336,DEAN FOODS CO,"CEO, Chief Executive Officer",,,,,
62655,931336,DEAN FOODS CO,"CFO, Chief Financial Officer",,,,,
30838,931427,TRANSPORTADORA DE GAS SUR,"CEO, Chief Executive Officer",,,,,
30838,931427,TRANSPORTADORA DE GAS SUR,"CFO, Chief Financial Officer",,,,,
31170,931584,UNVL STAINLESS & ALLOY PRODS,"CEO, Chief Executive Officer",,,,,
31170,931584,UNVL STAINLESS & ALLOY PRODS,"CFO, Chief Financial Officer",,,,,
31172,931683,LITTLEFIELD CORP,"CEO, Chief Executive Officer",,,,,
31172,931683,LITTLEFIELD CORP,"CFO, Chief Financial Officer",,,,,
199055,931799,GLYECO INC,"CEO, Chief Executive Officer",,,,,
199055,931799,GLYECO INC,"CFO, Chief Financial Officer",,,,,
31203,931948,STILLWATER MINING CO,"CEO, Chief Executive Officer",,,,,
31203,931948,STILLWATER MINING CO,"CFO, Chief Financial Officer",,,,,
107026,931984,INTL ROAD DYNAMICS INC,"CEO, Chief Executive Officer",,,,,
107026,931984,INTL ROAD DYNAMICS INC,"CFO, Chief Financial Officer",,,,,
